Last Name,First Name,Email,Grade
Espinoza,Laura,laura.espinoza@univ.edu,11
Dickson,Casey,casey.dickson@univ.edu,7
Baker,Kevin,kevin.baker@univ.edu,12
Bowman,Michael,michael.bowman@univ.edu,5
Perez,Edward,edward.perez@univ.edu,7
Ramsey,Jenny,jenny.ramsey@univ.edu,10
Campbell,Brian,brian.campbell@univ.edu,5
Smith,Mark,mark.smith@univ.edu,8
Silva,Brandi,brandi.silva@univ.edu,9
Jones,Stephen,stephen.jones@univ.edu,12
Calderon,Felicia,felicia.calderon@univ.edu,9
Gutierrez,Amy,amy.gutierrez@univ.edu,8
Rios,Angela,angela.rios@univ.edu,6
Lucas,Angela,angela.lucas@univ.edu,9
Walker,Whitney,whitney.walker@univ.edu,4
Welch,Anthony,anthony.welch@univ.edu,9
Patel,Christopher,christopher.patel@univ.edu,5
Gill,Susan,susan.gill@univ.edu,4
Beck,Richard,richard.beck@univ.edu,9
Lambert,Malaika,malaika.lambert@univ.edu,9
Perkins,Catherine,catherine.perkins@univ.edu,4
Berry,Jacob,jacob.berry@univ.edu,9
English,Erin,erin.english@univ.edu,9
Blair,Natasha,natasha.blair@univ.edu,7
Burns,Elizabeth,elizabeth.burns@univ.edu,12
Glover,Brian,brian.glover@univ.edu,12
Pham,Brittany,brittany.pham@univ.edu,4
Miller,Jennifer,jennifer.miller@univ.edu,6
Delgado,William,william.delgado@univ.edu,9
Jones,Charles,charles.jones@univ.edu,4
Riley,Amber,amber.riley@univ.edu,6
James,Molly,molly.james@univ.edu,12
Lee,Christina,christina.lee@univ.edu,12
Martin,Lori,lori.martin@univ.edu,10
Graham,Rebecca,rebecca.graham@univ.edu,8
Figueroa,Erin,erin.figueroa@univ.edu,4
Lee,Daniel,daniel.lee@univ.edu,8
Gallagher,Cameron,cameron.gallagher@univ.edu,8
Miller,Heather,heather.miller@univ.edu,7
Hawkins,Jason,jason.hawkins@univ.edu,7
Dean,Kevin,kevin.dean@univ.edu,12
Adams,Alexis,alexis.adams@univ.edu,11
Knapp,Chelsea,chelsea.knapp@univ.edu,4
Baxter,Donald,donald.baxter@univ.edu,12
Holloway,Melissa,melissa.holloway@univ.edu,5
Little,Jeffrey,jeffrey.little@univ.edu,6
Dennis,Barbara,barbara.dennis@univ.edu,6
Santos,Carlos,carlos.santos@univ.edu,7
Patton,Amanda,amanda.patton@univ.edu,5
Dean,Daniel,daniel.dean@univ.edu,7
Baker,Leah,leah.baker@univ.edu,10
Turner,Mary,mary.turner@univ.edu,10
Mcdowell,Karen,karen.mcdowell@univ.edu,11
Tran,Cody,cody.tran@univ.edu,12
Wilson,Timothy,timothy.wilson@univ.edu,12
Davis,Christopher,christopher.davis@univ.edu,8
Joyce,Traci,traci.joyce@univ.edu,4
Martin,Amy,amy.martin@univ.edu,5
Warren,Andrew,andrew.warren@univ.edu,8
Nunez,Christopher,christopher.nunez@univ.edu,12
Olsen,Jennifer,jennifer.olsen@univ.edu,4
Henderson,Kimberly,kimberly.henderson@univ.edu,5
Hernandez,Lori,lori.hernandez@univ.edu,6
Tyler,Frank,frank.tyler@univ.edu,7
Todd,Jeff,jeff.todd@univ.edu,10
Barrera,Woody,woody.barrera_jr@univ.edu,11
Wagner,Kyle,kyle.wagner@univ.edu,9
Wright,Michael,michael.wright@univ.edu,10
