,Section,Email Address,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade,Floor Score,Exam Score
cxh71998,2,calvin.hill@univ.edu,Calvin,Hill,97.0,100,60,60,74,90,98,100,75,100,94,100,73,80,53,80,58,60,49,80,92,100,66,100,62,100,5,10,8,10,7,0.92,0.66,0.62,0.86,0.8616388888888888,0.8616388888888888,0.5797101449275363,0.5778838808250574,0.5797101449275363,0.7235685990338164,73.0,C,70.0,0.20500000000000002
clj71730,2,chase.jones@univ.edu,Chase,Jones,92.0,100,39,60,80,90,96,100,66,100,87,100,59,80,79,80,47,60,76,80,66,100,93,100,91,100,6,6,6,10,8,0.66,0.93,0.91,0.8482352941176471,0.8407222222222221,0.8482352941176471,0.5217391304347826,0.5358696205755029,0.5358696205755029,0.7625550038197098,77.0,C,70.0,0.2625
sxj02466,2,stephen.jones@univ.edu,Stephen,Jones,64.0,100,47,60,54,90,84,100,73,100,61,100,50,80,53,80,54,60,63,80,97,100,86,100,97,100,6,9,12,9,14,0.97,0.86,0.97,0.7094117647058824,0.7178333333333333,0.7178333333333333,0.7246376811594203,0.7321721415839063,0.7321721415839063,0.7867849758085053,79.0,C,70.0,0.28
yak26157,2,yolanda.kennedy@univ.edu,Yolanda,Kennedy,75.0,100,43,60,79,90,65,100,73,100,83,100,72,80,76,80,51,60,49,80,80,100,87,100,72,100,9,7,6,8,6,0.8,0.87,0.72,0.7835294117647059,0.7866944444444444,0.7866944444444444,0.5217391304347826,0.5418436465495289,0.5418436465495289,0.7122308717426364,72.0,C,70.0,0.235
awk30253,2,alexander.klein@univ.edu,Alexander,Klein,69.0,100,56,60,64,90,94,100,96,100,89,100,51,80,60,80,56,60,58,80,99,100,90,100,100,100,12,7,9,4,11,0.99,0.9,1.0,0.8152941176470588,0.8170277777777777,0.8170277777777777,0.6231884057971014,0.6578736949325183,0.6578736949325183,0.8136732195908666,82.0,B,80.0,0.2895
mxl12345,2,malaika.lambert@univ.edu,Malaika,Lambert,69.0,100,49,60,85,90,60,100,70,100,91,100,63,80,62,80,57,60,57,80,98,100,67,100,97,100,7,9,9,7,13,0.98,0.67,0.97,0.78,0.7886111111111112,0.7886111111111112,0.6521739130434783,0.6698217468805703,0.6698217468805703,0.7778909685086155,78.0,C,70.0,0.2615
rxl86588,2,robert.lawson@univ.edu,Robert,Lawson,67.0,100,36,60,54,90,67,100,82,100,68,100,55,80,52,80,57,60,76,80,81,100,92,100,77,100,7,8,9,10,12,0.81,0.92,0.77,0.7223529411764706,0.7277500000000001,0.7277500000000001,0.6666666666666666,0.6826788897377133,0.6826788897377133,0.7439036669213142,75.0,C,70.0,0.248
mxl58475,2,marie.love@univ.edu,Marie,Love,78.0,100,39,60,80,90,83,100,100,100,81,100,56,80,72,80,60,60,52,80,61,100,63,100,73,100,11,8,12,6,6,0.61,0.63,0.73,0.8247058823529412,0.820888888888889,0.8247058823529412,0.6231884057971014,0.6335574229691876,0.6335574229691876,0.7229495798319328,73.0,C,70.0,0.203
axl06785,2,angela.lucas@univ.edu,Angela,Lucas,63.0,100,56,60,81,90,64,100,62,100,81,100,71,80,77,80,49,60,78,80,75,100,80,100,70,100,12,7,9,4,8,0.75,0.8,0.7,0.8023529411764706,0.8175000000000001,0.8175000000000001,0.5797101449275363,0.6078736949325184,0.6078736949325184,0.7318621084797556,74.0,C,70.0,0.22250000000000003
sxm92703,2,sarah.mcconnell@univ.edu,Sarah,Mcconnell,64.0,100,37,60,74,90,82,100,73,100,94,100,53,80,58,80,55,60,74,80,81,100,79,100,77,100,13,4,11,11,8,0.81,0.79,0.77,0.7811764705882352,0.7798055555555555,0.7811764705882352,0.6811594202898551,0.7095849248790425,0.7095849248790425,0.7603460656990069,77.0,C,70.0,0.23500000000000001
hxm83188,2,heather.miller@univ.edu,Heather,Miller,70.0,100,36,60,60,90,65,100,96,100,87,100,74,80,50,80,51,60,77,80,77,100,79,100,96,100,7,6,7,10,9,0.77,0.79,0.96,0.7835294117647059,0.7809166666666666,0.7835294117647059,0.5652173913043478,0.5824828113063407,0.5824828113063407,0.7496566080977847,75.0,C,70.0,0.2615
axm80777,2,andrew.moore@univ.edu,Andrew,Moore,98.0,100,56,60,59,90,78,100,76,100,87,100,67,80,72,80,49,60,50,80,73,100,82,100,76,100,12,7,6,5,14,0.73,0.82,0.76,0.8141176470588235,0.8158055555555557,0.8158055555555557,0.6376811594202898,0.686865291571174,0.686865291571174,0.7648818096935744,77.0,C,70.0,0.23249999999999998
sxo55043,2,sarah.olson@univ.edu,Sarah,Olson,93.0,100,45,60,62,90,95,100,84,100,62,100,64,80,78,80,59,60,80,80,98,100,65,100,63,100,13,5,9,5,6,0.98,0.65,0.63,0.8494117647058823,0.8537222222222223,0.8537222222222223,0.5507246376811594,0.5803412274000509,0.5803412274000509,0.7240912571089042,73.0,C,70.0,0.20850000000000002
ajp46924,2,amanda.patton@univ.edu,Amanda,Patton,61.0,100,37,60,69,90,95,100,87,100,71,100,78,80,79,80,51,60,52,80,93,100,79,100,99,100,13,4,5,9,11,0.93,0.79,0.99,0.8,0.7985833333333333,0.8,0.6086956521739131,0.6604252610134963,0.6604252610134963,0.792127578304049,80.0,B,80.0,0.274
bxp39406,2,brittany.pham@univ.edu,Brittany,Pham,76.0,100,51,60,54,90,62,100,65,100,83,100,63,80,72,80,56,60,80,80,78,100,86,100,76,100,14,7,4,5,7,0.78,0.86,0.76,0.7788235294117647,0.7930833333333334,0.7930833333333334,0.5362318840579711,0.5830328495034378,0.5830328495034378,0.7311431881843646,74.0,C,70.0,0.239
ajr17242,2,angela.rios@univ.edu,Angela,Rios,74.0,100,53,60,68,90,95,100,73,100,66,100,66,80,75,80,38,60,76,80,100,100,73,100,94,100,11,7,6,8,6,1.0,0.73,0.94,0.8047058823529412,0.8064722222222223,0.8064722222222223,0.5507246376811594,0.5782072829131654,0.5782072829131654,0.7600510737628385,77.0,C,70.0,0.264
jar68061,2,jessica.rodriguez@univ.edu,Jessica,Rodriguez,78.0,100,39,60,61,90,70,100,88,100,74,100,80,80,74,80,44,60,54,80,80,100,67,100,73,100,13,7,7,9,6,0.8,0.67,0.73,0.7788235294117647,0.7761111111111111,0.7788235294117647,0.6086956521739131,0.6406213394448688,0.6406213394448688,0.7202158135981664,73.0,C,70.0,0.21650000000000003
skt98984,2,sandy.tapia@univ.edu,Sandy,Tapia,63.0,100,54,60,71,90,82,100,83,100,75,100,80,80,64,80,45,60,50,80,90,100,60,100,70,100,13,4,9,4,7,0.9,0.6,0.7,0.7847058823529411,0.7893888888888889,0.7893888888888889,0.5362318840579711,0.56938884644767,0.56938884644767,0.6965722094898565,70.0,C,70.0,0.21000000000000002
mpt94337,2,mary.thomas@univ.edu,Mary,Thomas,82.0,100,54,60,76,90,60,100,65,100,67,100,72,80,80,80,56,60,73,80,93,100,62,100,86,100,10,9,10,8,15,0.93,0.62,0.86,0.8058823529411765,0.8230277777777779,0.8230277777777779,0.7536231884057971,0.7837509549274255,0.7837509549274255,0.8018363975893388,81.0,B,80.0,0.23750000000000002
cxt19401,2,cody.tran@univ.edu,Cody,Tran,61.0,100,39,60,83,90,91,100,85,100,93,100,80,80,60,80,51,60,59,80,84,100,89,100,83,100,5,7,12,10,6,0.84,0.89,0.83,0.8258823529411765,0.8209722222222222,0.8258823529411765,0.5797101449275363,0.5682760376878024,0.5797101449275363,0.7597659846547316,76.0,C,70.0,0.2555
gxt15050,2,gregory.turner@univ.edu,Gregory,Turner,65.0,100,54,60,69,90,95,100,90,100,78,100,71,80,80,80,37,60,65,80,78,100,82,100,98,100,11,4,7,11,13,0.78,0.82,0.98,0.8282352941176471,0.8263333333333334,0.8282352941176471,0.6666666666666666,0.7094957983193277,0.7094957983193277,0.8121428571428572,82.0,B,80.0,0.268
fxt62545,2,frank.tyler@univ.edu,Frank,Tyler,84.0,100,46,60,69,90,68,100,85,100,71,100,72,80,55,80,53,60,68,80,89,100,60,100,66,100,11,4,7,6,14,0.89,0.6,0.66,0.7894117647058824,0.7934166666666667,0.7934166666666667,0.6086956521739131,0.654733893557423,0.654733893557423,0.7172868347338935,72.0,C,70.0,0.20350000000000001
krw81756,2,kyle.wagner@univ.edu,Kyle,Wagner,97.0,100,51,60,64,90,62,100,65,100,76,100,53,80,57,80,59,60,64,80,71,100,78,100,81,100,14,9,9,5,9,0.71,0.78,0.81,0.7623529411764706,0.7719444444444444,0.7719444444444444,0.6666666666666666,0.7018563789152024,0.7018563789152024,0.7543346914523386,76.0,C,70.0,0.23500000000000001
rnw11611,2,randall.wood@univ.edu,Randall,Wood,88.0,100,59,60,72,90,100,100,76,100,67,100,66,80,54,80,50,60,69,80,96,100,68,100,78,100,11,6,5,10,10,0.96,0.68,0.78,0.8247058823529412,0.8289166666666666,0.8289166666666666,0.6086956521739131,0.6483473389355743,0.6483473389355743,0.759070868347339,76.0,C,70.0,0.23299999999999998
