ID,Name,NetID,Email Address,Section
5787462,"Mcdowell, Karen Kevin",KKM13403,KAREN.MCDOWELL@UNIV.EDU,3
8777893,"Espinoza, Mitchell",MXE43769,MITCHELL.ESPINOZA@UNIV.EDU,1
5771563,"Blair, Natasha Antonio",NAB12427,NATASHA.BLAIR@UNIV.EDU,1
8377606,"Burton, Elizabeth",EXB86731,ELIZABETH.BURTON@UNIV.EDU,3
3144620,"Schmidt, Cheryl",CXS31709,CHERYL.SCHMIDT@UNIV.EDU,1
9905193,"Gill, Susan Theresa",STG78249,SUSAN.GILL@UNIV.EDU,2
6449809,"Calderon, Felicia Jamie",FJC75585,FELICIA.CALDERON@UNIV.EDU,1
9443002,"Wilson, Tracey Kristina",TKW80513,TRACEY.WILSON@UNIV.EDU,1
3368375,"Butler, Bradley",BXB34724,BRADLEY.BUTLER@UNIV.EDU,2
9088844,"Graham, Rebecca",RXG90426,REBECCA.GRAHAM@UNIV.EDU,3
1010954,"Adams, Alexis",AXA85092,ALEXIS.ADAMS@UNIV.EDU,3
6877967,"Walker, Whitney Ray",WRW07773,WHITNEY.WALKER@UNIV.EDU,3
1645332,"Warren, Andrew Linda",ALW38027,ANDREW.WARREN@UNIV.EDU,3
8582749,"Herman, Daniel Kristen",DKH42103,DANIEL.HERMAN@UNIV.EDU,3
2077921,"Thomas, Mary Pamela",MPT94337,MARY.THOMAS@UNIV.EDU,2
6184571,"Perez, Alyssa",AXP66215,ALYSSA.PEREZ@UNIV.EDU,3
9898024,"Beck, Richard",RXB03007,RICHARD.BECK@UNIV.EDU,1
7622622,"Everett, Michael Caitlin",MCE66433,MICHAEL.EVERETT@UNIV.EDU,3
2953604,"Alvarez, Gloria Seth",GSA80084,GLORIA.ALVAREZ@UNIV.EDU,2
2776226,"Tanner, Michael Nicholas",MNT83593,MICHAEL.TANNER@UNIV.EDU,3
3379381,"Mcconnell, Sarah",SXM92703,SARAH.MCCONNELL@UNIV.EDU,2
2093617,"Tran, Cody",CXT19401,CODY.TRAN@UNIV.EDU,2
2800405,"Patel, Christopher",CXP89602,CHRISTOPHER.PATEL@UNIV.EDU,1
1489579,"Meyer, Makayla Donald",MDM85926,MAKAYLA.MEYER@UNIV.EDU,3
3315037,"Olsen, Jennifer",JXO03543,JENNIFER.OLSEN@UNIV.EDU,3
6691335,"Gallagher, Cameron",CXG26059,CAMERON.GALLAGHER@UNIV.EDU,1
7753572,"Thompson, Cheryl Joseph",CJT20722,CHERYL.THOMPSON@UNIV.EDU,1
5723281,"White, Teresa",TXW66775,TERESA.WHITE@UNIV.EDU,3
8664627,"Dean, Daniel",DXD30633,DANIEL.DEAN@UNIV.EDU,1
3451417,"Ellis, Michael Benjamin",MBE87487,MICHAEL.ELLIS@UNIV.EDU,2
4878462,"Glenn, Gregory Mark",GMG77937,GREGORY.GLENN@UNIV.EDU,1
2472328,"Luna, Nicholas",NXL76628,NICHOLAS.LUNA@UNIV.EDU,1
8260551,"Love, Marie",MXL58475,MARIE.LOVE@UNIV.EDU,2
6121312,"Bowman, Michael Sandra",MSB50619,MICHAEL.BOWMAN@UNIV.EDU,3
4145952,"Moore, Andrew",AXM80777,ANDREW.MOORE@UNIV.EDU,2
9767760,"Turner, Mary",MXT58181,MARY.TURNER@UNIV.EDU,1
9355851,"Jones, Charles",CXJ85343,CHARLES.JONES@UNIV.EDU,3
1842153,"Wright, Michael",MXW10083,MICHAEL.WRIGHT@UNIV.EDU,1
2635185,"Tyler, Frank",FXT62545,FRANK.TYLER@UNIV.EDU,2
7428518,"English, Erin",EXE90802,ERIN.ENGLISH@UNIV.EDU,2
6756536,"Tran, Alison Douglas",ADT44286,ALISON.TRAN@UNIV.EDU,3
7285900,"Baker, Leah Natalie",LNB72237,LEAH.BAKER@UNIV.EDU,2
1830849,"George, Timothy",TXG10109,TIMOTHY.GEORGE@UNIV.EDU,1
7443026,"Davidson, Michael Kimberly",MKD53937,MICHAEL.DAVIDSON@UNIV.EDU,2
4281231,"Meyer, Jack",JXM47033,JACK.MEYER@UNIV.EDU,1
1017551,"Bautista, Darren Pam",DPB38926,DARREN.BAUTISTA@UNIV.EDU,2
4799862,"Espinoza, Laura Michael",LME00270,LAURA.ESPINOZA@UNIV.EDU,1
7812640,"Lambert, Miguel Tanya",MTL13635,MIGUEL.LAMBERT@UNIV.EDU,3
8899797,"Hernandez, Jennifer William",JWH42925,JENNIFER.HERNANDEZ@UNIV.EDU,1
5510060,"Miller, Karen Charles",KCM67588,KAREN.MILLER@UNIV.EDU,3
8616314,"Henderson, Kimberly Jennifer",KJH60744,KIMBERLY.HENDERSON@UNIV.EDU,3
4118985,"Little, Jeffrey James",JJL92159,JEFFREY.LITTLE@UNIV.EDU,1
4627220,"Pham, Brittany",BXP39406,BRITTANY.PHAM@UNIV.EDU,2
6225078,"Ramsey, Jenny",JXR19825,JENNY.RAMSEY@UNIV.EDU,3
4180860,"Knapp, Chelsea",CXK67663,CHELSEA.KNAPP@UNIV.EDU,1
2333938,"Thomas, Christine",CXT12282,CHRISTINE.THOMAS@UNIV.EDU,3
8123915,"Perkins, Catherine Edwin",CEP98102,CATHERINE.PERKINS@UNIV.EDU,1
7224428,"Spencer, Jennifer Julie",JJS71468,JENNIFER.SPENCER@UNIV.EDU,3
7665099,"Rogers, Monique",MXR93797,MONIQUE.ROGERS@UNIV.EDU,3
5478394,"Goodwin, Steven John",SJG33904,STEVEN.GOODWIN@UNIV.EDU,1
8446069,"Wilson, Timothy Aaron",TAW04137,TIMOTHY.WILSON@UNIV.EDU,1
4796670,"Grant, Rodney",RXG45689,RODNEY.GRANT@UNIV.EDU,1
3075761,"Wagner, Kyle Randall",KRW81756,KYLE.WAGNER@UNIV.EDU,2
1162616,"Gutierrez, Amy Kendra",AKG06585,AMY.GUTIERREZ@UNIV.EDU,2
2890128,"Smith, Mark",MXS10343,MARK.SMITH@UNIV.EDU,3
8370473,"Neal, Nicole Brian",NBN87575,NICOLE.NEAL@UNIV.EDU,1
9628329,"Jones, Mary",MXJ42062,MARY.JONES@UNIV.EDU,3
6502748,"Estrada, Sharon",SXE57604,SHARON.ESTRADA@UNIV.EDU,2
3602733,"Kennedy, Yolanda Andrew",YAK26157,YOLANDA.KENNEDY@UNIV.EDU,2
3238301,"Hernandez, Lori",LXH37504,LORI.HERNANDEZ@UNIV.EDU,3
7667771,"White, Spencer",SXW74941,SPENCER.WHITE@UNIV.EDU,1
4493685,"Miranda, Samantha",SXM76462,SAMANTHA.MIRANDA@UNIV.EDU,3
6529374,"Wood, Joshua",JXW59593,JOSHUA.WOOD@UNIV.EDU,1
7660398,"Middleton, Mitchell",MXM68572,MITCHELL.MIDDLETON@UNIV.EDU,3
9470995,"Tapia, Sandy Kim",SKT98984,SANDY.TAPIA@UNIV.EDU,2
3049065,"Dickson, Casey Alexis",CAD69827,CASEY.DICKSON@UNIV.EDU,2
1797099,"Burns, Elizabeth",EXB04282,ELIZABETH.BURNS@UNIV.EDU,2
9519746,"Figueroa, Erin Eric",EEF70070,ERIN.FIGUEROA@UNIV.EDU,3
1637717,"James, Molly",MXJ03480,MOLLY.JAMES@UNIV.EDU,3
5535310,"Rios, Angela Joel",AJR17242,ANGELA.RIOS@UNIV.EDU,2
7486855,"Patton, Amanda Joseph",AJP46924,AMANDA.PATTON@UNIV.EDU,2
