,Section,Email Address,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade,Floor Score,Exam Score
txj12345,1,traci.joyce@univ.edu,Traci,Joyce,0.0,100,59,60,83,90,94,100,75,100,70,100,64,80,67,80,53,60,59,80,65,100,84,100,86,100,7,8,4,5,14,0.65,0.84,0.86,0.7341176470588235,0.7553888888888889,0.7553888888888889,0.5507246376811594,0.5857601222307105,0.5857601222307105,0.7233835922247687,73.0,C,70.0,0.2455
sxk54772,1,susan.king@univ.edu,Susan,King,61.0,100,46,60,61,90,100,100,72,100,71,100,76,80,61,80,47,60,80,80,62,100,98,100,94,100,11,10,8,5,8,0.62,0.98,0.94,0.7941176470588235,0.7980277777777778,0.7980277777777778,0.6086956521739131,0.6322128851540616,0.6322128851540616,0.7788749766573296,78.0,C,70.0,0.27
cxk67663,1,chelsea.knapp@univ.edu,Chelsea,Knapp,65.0,100,53,60,80,90,96,100,70,100,73,100,66,80,58,80,50,60,69,80,77,100,78,100,84,100,10,6,4,11,8,0.77,0.78,0.84,0.8,0.8058055555555554,0.8058055555555554,0.5652173913043478,0.599353195823784,0.599353195823784,0.7446281809693573,75.0,C,70.0,0.24250000000000002
crl12924,1,christina.lee@univ.edu,Christina,Lee,99.0,100,56,60,68,90,99,100,78,100,91,100,66,80,78,80,40,60,76,80,79,100,78,100,74,100,13,7,12,9,7,0.79,0.78,0.74,0.8835294117647059,0.8775555555555556,0.8835294117647059,0.6956521739130435,0.7161115355233003,0.7161115355233003,0.7967452253628724,80.0,B,80.0,0.22850000000000004
dkl78802,1,daniel.lee@univ.edu,Daniel,Lee,91.0,100,55,60,79,90,84,100,79,100,80,100,68,80,54,80,46,60,55,80,66,100,99,100,76,100,13,4,8,6,9,0.66,0.99,0.76,0.8129411764705883,0.811361111111111,0.8129411764705883,0.5797101449275363,0.6195289024700789,0.6195289024700789,0.7570351413292591,76.0,C,70.0,0.246
jjl92159,1,jeffrey.little@univ.edu,Jeffrey,Little,74.0,100,60,60,88,90,85,100,61,100,97,100,70,80,75,80,59,60,73,80,67,100,95,100,93,100,14,6,6,6,6,0.67,0.95,0.93,0.8729411764705882,0.8856111111111111,0.8856111111111111,0.5507246376811594,0.5908479755538579,0.5908479755538579,0.7994988371106019,80.0,B,80.0,0.268
nxl76628,1,nicholas.luna@univ.edu,Nicholas,Luna,73.0,100,58,60,65,90,66,100,67,100,95,100,74,80,56,80,40,60,57,80,98,100,99,100,91,100,8,7,9,8,14,0.98,0.99,0.91,0.7658823529411765,0.7703055555555556,0.7703055555555556,0.6666666666666666,0.6922892793481029,0.6922892793481029,0.8003090060266531,81.0,B,80.0,0.28450000000000003
asm18749,1,amy.martin@univ.edu,Amy,Martin,98.0,100,47,60,75,90,83,100,99,100,73,100,67,80,79,80,58,60,76,80,78,100,90,100,66,100,12,4,5,5,12,0.78,0.9,0.66,0.888235294117647,0.8888333333333334,0.8888333333333334,0.5507246376811594,0.6017672523554876,0.6017672523554876,0.7640635090399797,77.0,C,70.0,0.228
jxm47033,1,jack.meyer@univ.edu,Jack,Meyer,71.0,100,50,60,59,90,68,100,98,100,85,100,71,80,79,80,57,60,76,80,81,100,61,100,85,100,11,4,5,6,6,0.81,0.61,0.85,0.84,0.8483888888888889,0.8483888888888889,0.463768115942029,0.49787114845938374,0.49787114845938374,0.7177169000933707,72.0,C,70.0,0.229
nbn87575,1,nicole.neal@univ.edu,Nicole,Neal,98.0,100,44,60,65,90,72,100,77,100,95,100,48,80,54,80,40,60,67,80,64,100,86,100,76,100,6,6,12,5,11,0.64,0.86,0.76,0.7764705882352941,0.7654722222222222,0.7764705882352941,0.5797101449275363,0.5850292844410492,0.5850292844410492,0.7180970206264323,72.0,C,70.0,0.23199999999999998
ccn88751,1,christopher.nunez@univ.edu,Christopher,Nunez,85.0,100,52,60,79,90,78,100,91,100,100,100,63,80,77,80,57,60,60,80,64,100,71,100,89,100,9,5,12,9,15,0.64,0.71,0.89,0.8729411764705882,0.8734444444444446,0.8734444444444446,0.7246376811594203,0.7500509294626941,0.7500509294626941,0.8108930566165861,82.0,B,80.0,0.2365
cxp89602,1,christopher.patel@univ.edu,Christopher,Patel,68.0,100,60,60,67,90,95,100,78,100,63,100,70,80,68,80,37,60,67,80,83,100,77,100,92,100,7,7,5,8,14,0.83,0.77,0.92,0.7917647058823529,0.7963611111111112,0.7963611111111112,0.5942028985507246,0.627048637636873,0.627048637636873,0.7631590357355065,77.0,C,70.0,0.25650000000000006
eap61068,1,edward.perez@univ.edu,Edward,Perez,78.0,100,58,60,75,90,89,100,89,100,100,100,54,80,48,80,60,60,53,80,77,100,77,100,73,100,6,5,7,7,15,0.77,0.77,0.73,0.8282352941176471,0.82975,0.82975,0.5797101449275363,0.6081105169340464,0.6081105169340464,0.739333155080214,74.0,C,70.0,0.22500000000000003
cep98102,1,catherine.perkins@univ.edu,Catherine,Perkins,90.0,100,39,60,71,90,88,100,82,100,68,100,66,80,74,80,42,60,77,80,92,100,62,100,96,100,13,7,4,10,14,0.92,0.62,0.96,0.82,0.8131388888888889,0.82,0.6956521739130435,0.7529462694168577,0.7529462694168577,0.8058838808250572,81.0,B,80.0,0.252
atr68583,1,amber.riley@univ.edu,Amber,Riley,85.0,100,36,60,54,90,74,100,88,100,82,100,68,80,49,80,54,60,64,80,82,100,95,100,78,100,6,8,6,4,11,0.82,0.95,0.78,0.7694117647058824,0.76525,0.7694117647058824,0.5072463768115942,0.5268220015278838,0.5268220015278838,0.7188113063407181,72.0,C,70.0,0.253
cxs10454,1,carlos.santos@univ.edu,Carlos,Santos,87.0,100,40,60,60,90,62,100,95,100,76,100,49,80,50,80,38,60,66,80,75,100,84,100,77,100,10,9,7,4,7,0.75,0.84,0.77,0.7329411764705882,0.7229166666666667,0.7329411764705882,0.5362318840579711,0.5579806468041763,0.5579806468041763,0.6975706646294881,70.0,C,70.0,0.237
cxs31709,1,cheryl.schmidt@univ.edu,Cheryl,Schmidt,65.0,100,47,60,69,90,62,100,90,100,92,100,67,80,51,80,36,60,55,80,71,100,94,100,65,100,7,4,4,9,7,0.71,0.94,0.65,0.7458823529411764,0.7402500000000001,0.7458823529411764,0.4492753623188406,0.4729029793735677,0.4729029793735677,0.6672238349885409,67.0,D,60.0,0.227
cjt20722,1,cheryl.thompson@univ.edu,Cheryl,Thompson,81.0,100,53,60,56,90,66,100,91,100,61,100,54,80,48,80,51,60,70,80,74,100,64,100,70,100,12,4,6,8,14,0.74,0.64,0.7,0.7423529411764705,0.7495555555555555,0.7495555555555555,0.6376811594202898,0.6897224344283168,0.6897224344283168,0.7127389525507173,72.0,C,70.0,0.20600000000000002
jrt67930,1,jeff.todd@univ.edu,Jeff,Todd,92.0,100,54,60,85,90,62,100,65,100,99,100,77,80,71,80,45,60,50,80,64,100,93,100,93,100,8,5,10,11,13,0.64,0.93,0.93,0.8235294117647058,0.8249444444444446,0.8249444444444446,0.6811594202898551,0.7035777947542654,0.7035777947542654,0.8055511162040575,81.0,B,80.0,0.2645
mxt58181,1,mary.turner@univ.edu,Mary,Turner,99.0,100,56,60,89,90,93,100,72,100,98,100,48,80,60,80,37,60,74,80,62,100,62,100,74,100,8,10,10,5,10,0.62,0.62,0.74,0.8541176470588235,0.843388888888889,0.8541176470588235,0.6231884057971014,0.6345301757066464,0.6345301757066464,0.7360061115355233,74.0,C,70.0,0.20400000000000001
sxw74941,1,spencer.white@univ.edu,Spencer,White,62.0,100,45,60,64,90,79,100,74,100,67,100,66,80,50,80,38,60,77,80,68,100,72,100,67,100,10,8,7,8,10,0.68,0.72,0.67,0.731764705882353,0.7326944444444445,0.7326944444444445,0.6231884057971014,0.6517901706137,0.6517901706137,0.6951148289618878,70.0,C,70.0,0.20650000000000002
taw04137,1,timothy.wilson@univ.edu,Timothy,Wilson,99.0,100,37,60,83,90,70,100,78,100,77,100,49,80,77,80,36,60,54,80,96,100,68,100,77,100,10,9,12,10,7,0.96,0.68,0.77,0.7764705882352941,0.762888888888889,0.7764705882352941,0.6956521739130435,0.7025184619302267,0.7025184619302267,0.7528437738731857,76.0,C,70.0,0.23149999999999998
tkw80513,1,tracey.wilson@univ.edu,Tracey,Wilson,72.0,100,41,60,80,90,90,100,86,100,86,100,60,80,62,80,49,60,65,80,64,100,79,100,83,100,7,8,6,11,10,0.64,0.79,0.83,0.8129411764705883,0.8066388888888889,0.8129411764705883,0.6086956521739131,0.6283371530430355,0.6283371530430355,0.7491776165011459,75.0,C,70.0,0.2355
jxw59593,1,joshua.wood@univ.edu,Joshua,Wood,72.0,100,37,60,88,90,96,100,97,100,95,100,79,80,52,80,44,60,68,80,95,100,96,100,85,100,13,7,6,10,8,0.95,0.96,0.85,0.8564705882352941,0.8415277777777778,0.8564705882352941,0.6376811594202898,0.6764756811815635,0.6764756811815635,0.8165309396485867,82.0,B,80.0,0.271
mxw10083,1,michael.wright@univ.edu,Michael,Wright,81.0,100,38,60,55,90,97,100,74,100,85,100,50,80,74,80,51,60,62,80,89,100,87,100,75,100,10,9,10,11,13,0.89,0.87,0.75,0.7847058823529411,0.7789444444444444,0.7847058823529411,0.7681159420289855,0.793274764451235,0.793274764451235,0.795864782276547,80.0,B,80.0,0.244
gxy44950,1,gregory.yu@univ.edu,Gregory,Yu,70.0,100,51,60,77,90,61,100,63,100,81,100,77,80,59,80,45,60,71,80,72,100,82,100,89,100,6,8,10,11,7,0.72,0.82,0.89,0.7705882352941177,0.7793055555555556,0.7793055555555556,0.6086956521739131,0.607214158390629,0.6086956521739131,0.7458309178743961,75.0,C,70.0,0.2515
txz51826,1,thomas.zamora@univ.edu,Thomas,Zamora,87.0,100,41,60,73,90,84,100,89,100,93,100,80,80,78,80,49,60,65,80,95,100,80,100,73,100,7,5,9,5,11,0.95,0.8,0.73,0.8694117647058823,0.8628611111111109,0.8694117647058823,0.5362318840579711,0.5545836516424751,0.5545836516424751,0.7511398013750955,76.0,C,70.0,0.237
